eID,dID,efID,elID,jID,Attrition,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,ExperienceLevel,burnout_rate,AnnualIncome
238,1,1,3,6,No,771,2,1,79,2,3,19068,1,1,3,33,4,33,7,15,12,Senior,2.2,228816
239,1,1,1,7,No,1401,4,3,56,3,2,3931,2,0,3,6,3,4,3,1,2,Mid-level,2.2,47172
240,2,1,4,3,Yes,515,1,4,62,2,3,3730,0,1,3,4,1,3,2,1,2,Mid-level,2.2,44760
241,2,3,3,3,No,1431,1,3,96,3,3,2232,7,0,3,7,3,3,2,1,2,Mid-level,2.4,26784
242,1,4,3,1,No,976,26,3,100,3,4,4465,0,0,3,4,3,3,2,2,2,Mid-level,2.6,53580
243,2,1,1,2,No,1411,19,3,36,3,1,3072,2,0,3,17,2,1,0,0,0,Junior,1.8,36864
244,2,5,1,2,No,1300,24,1,62,3,4,3319,1,0,3,9,3,9,8,4,7,Senior,2.2,39828
245,2,2,4,6,No,252,1,3,70,4,4,19202,0,0,3,25,3,24,0,1,7,Senior,2.8,230424
246,2,3,3,8,No,1327,3,2,73,3,3,13675,9,0,3,9,3,2,2,2,2,Junior,2.2,164100
247,2,1,3,2,No,832,5,3,63,2,4,2911,1,0,3,2,2,2,2,0,2,Junior,2.2,34932
248,2,1,3,4,No,470,2,4,84,2,1,5957,6,0,3,13,3,11,9,5,9,Senior,2.0,71484
249,2,3,1,2,No,1017,1,3,83,2,1,3920,2,0,3,17,2,3,1,0,2,Mid-level,1.6,47040
250,2,1,3,4,No,1199,7,1,77,4,3,6434,4,0,3,9,3,3,2,0,2,Mid-level,2.2,77208
251,2,3,4,4,Yes,504,10,1,61,3,3,10048,6,0,3,17,3,1,0,0,0,Junior,2.0,120576
252,2,5,3,5,No,505,2,3,64,3,3,10938,0,0,4,20,3,19,6,11,8,Senior,2.4,131256
253,2,1,4,2,No,665,15,3,60,3,4,2340,1,0,3,6,3,6,5,1,5,Mid-level,2.6,28080
254,2,1,1,2,No,916,17,4,82,4,1,6545,3,1,3,10,3,3,2,0,2,Mid-level,2.6,78540
255,1,4,1,1,No,1247,20,4,45,3,4,6931,2,0,3,10,3,3,2,0,2,Mid-level,2.8,83172
256,2,1,4,4,No,685,1,1,62,3,3,4898,0,0,3,5,3,4,2,1,2,Mid-level,2.0,58776
257,2,3,4,3,No,269,2,4,56,2,1,2593,0,1,3,10,3,9,6,7,8,Senior,2.2,31116
258,2,3,1,8,No,1416,2,1,49,3,3,19436,0,0,3,22,3,21,7,3,9,Senior,2.0,233232
259,2,1,4,2,No,833,1,3,96,3,4,2723,1,0,3,1,2,1,0,0,0,Junior,2.4,32676
260,2,3,1,3,Yes,307,29,3,71,2,2,3479,0,0,3,6,4,5,4,1,4,Mid-level,2.2,41748
261,2,1,4,3,No,1311,7,2,100,4,2,2794,1,0,4,5,1,5,1,0,3,Mid-level,1.8,33528
262,1,1,1,1,No,1327,2,4,39,2,4,5249,3,0,3,13,3,8,7,7,5,Senior,2.6,62988
263,2,5,2,3,No,128,2,4,84,2,1,2176,4,0,3,9,3,6,2,0,4,Mid-level,2.0,26112
264,1,5,4,6,No,488,2,3,75,1,2,16872,3,1,3,28,2,7,7,7,7,Senior,1.8,202464
265,2,1,3,3,Yes,529,2,1,79,3,3,3485,2,0,3,5,1,0,0,0,0,Junior,1.6,41820
266,1,3,4,1,No,1210,2,1,78,2,2,6644,2,0,3,10,3,0,0,0,0,Junior,1.6,79728
267,2,3,4,5,No,1463,23,2,64,2,4,5582,0,0,4,10,3,9,0,7,8,Senior,2.2,66984
268,2,1,1,5,No,675,5,2,85,4,1,4000,1,0,3,6,3,6,3,1,5,Mid-level,2.0,48000
269,2,3,1,5,No,1385,20,3,79,3,4,13496,0,1,3,21,3,20,7,4,10,Senior,2.8,161952
270,2,1,4,3,No,1403,6,4,47,3,4,3210,0,0,3,16,3,15,13,10,11,Senior,2.8,38520
271,2,3,4,6,No,452,1,4,81,3,1,19045,0,1,3,37,3,36,10,4,13,Senior,2.4,228540
272,2,1,3,6,Yes,666,29,1,88,3,2,11849,1,1,3,10,2,10,7,9,9,Senior,1.8,142188
273,2,3,4,2,No,1158,9,4,94,3,4,2070,1,0,4,5,2,5,2,0,4,Mid-level,2.6,24840
274,1,3,3,1,No,228,6,3,98,3,4,6502,4,0,3,7,4,5,4,0,1,Mid-level,2.8,78024
275,2,3,1,2,No,996,3,4,100,2,3,3230,1,0,3,3,4,3,2,1,0,Mid-level,2.6,38760
276,2,3,3,8,No,728,1,1,80,3,4,13603,2,1,3,15,3,5,2,0,2,Mid-level,2.4,163236
277,2,1,4,6,No,1315,22,2,71,4,2,11996,7,0,3,10,2,7,7,6,2,Senior,2.0,143952
278,1,3,1,1,No,322,7,1,44,4,1,5605,1,1,4,8,3,8,0,7,7,Senior,2.0,67260
279,2,1,4,4,No,1479,1,3,84,3,2,6397,1,0,4,6,1,6,5,1,4,Mid-level,1.8,76764
280,2,1,2,8,No,797,4,1,96,3,2,19144,3,0,3,28,2,10,4,1,6,Senior,1.6,229728
281,2,3,3,8,No,1070,3,3,45,3,3,17584,3,1,3,21,2,5,3,1,3,Mid-level,2.4,211008
282,1,1,2,1,No,635,1,2,99,3,3,4907,1,0,4,20,3,20,16,11,6,Senior,2.2,58884
283,1,1,1,1,No,442,2,2,44,3,4,4554,1,0,3,10,2,10,7,0,9,Senior,2.2,54648
284,2,5,1,3,No,147,20,2,37,3,4,5415,3,1,3,12,3,10,7,0,8,Senior,2.6,64980
285,2,3,1,5,No,496,11,1,60,3,1,4741,1,1,3,5,3,5,3,3,3,Mid-level,1.8,56892
286,2,1,4,2,No,1372,1,4,42,3,4,2115,1,0,3,17,3,17,12,5,7,Senior,2.8,25380
287,2,1,4,3,Yes,920,24,4,43,3,3,3161,3,1,4,19,1,1,0,0,0,Junior,2.4,37932
288,2,1,3,5,No,688,23,4,82,3,4,5745,9,0,3,10,3,2,2,1,2,Junior,2.8,68940
289,2,3,3,3,Yes,1449,16,1,45,3,2,2373,2,1,3,5,3,3,2,0,2,Mid-level,2.0,28476
290,2,1,1,2,No,1117,8,4,66,3,4,3310,1,0,4,5,3,5,3,0,2,Mid-level,2.8,39720
291,2,1,3,8,No,636,10,3,35,3,1,18665,9,1,3,22,3,3,2,1,2,Mid-level,2.2,223980
292,2,5,4,2,No,506,3,3,30,3,2,4485,4,0,3,10,3,8,0,7,7,Senior,2.2,53820
293,1,4,4,7,No,444,5,4,84,3,2,2789,1,0,3,2,2,2,2,2,2,Junior,2.2,33468
294,1,4,3,1,Yes,950,4,4,48,2,4,5828,1,1,3,8,3,8,7,7,4,Senior,2.8,69936
295,2,3,4,2,No,889,9,2,53,3,4,2326,1,1,3,4,2,4,2,1,2,Mid-level,2.4,27912
296,1,4,4,1,No,555,26,3,77,3,2,13525,5,0,3,23,4,20,4,4,8,Senior,2.4,162300
297,2,1,4,3,Yes,230,3,3,54,3,3,1420,1,0,3,0,3,0,0,0,0,Junior,2.4,17040
298,1,4,4,1,No,1232,16,3,96,3,2,8020,0,0,3,12,2,11,9,6,9,Senior,2.0,96240
299,2,1,3,3,No,566,18,3,81,4,4,3688,4,0,3,4,3,1,0,0,0,Junior,2.8,44256
300,2,3,4,4,No,1302,2,4,84,1,2,5482,5,0,3,13,3,4,1,1,2,Mid-level,2.0,65784
301,1,1,3,6,No,334,2,4,88,3,2,16015,1,0,3,22,3,22,10,0,4,Senior,2.4,192180
302,1,3,4,7,No,812,10,4,69,2,3,1200,1,0,3,0,3,0,0,0,0,Junior,2.4,14400
303,2,3,1,5,No,1476,16,2,68,4,1,5661,0,0,3,9,3,8,3,0,7,Senior,2.0,67932
304,1,5,4,1,No,218,7,2,100,4,4,6929,4,0,3,10,2,8,7,7,7,Senior,2.4,83148
305,2,3,4,5,No,1132,1,3,48,4,4,9613,0,0,3,19,2,18,10,3,7,Senior,2.6,115356
306,2,1,3,3,No,1105,24,2,47,3,2,5674,7,0,3,11,3,9,8,0,8,Senior,2.0,68088
307,1,1,4,1,No,906,7,4,91,2,3,5484,1,0,3,13,2,13,8,4,8,Senior,2.2,65808
308,2,1,1,8,No,849,25,1,81,2,2,12061,3,0,3,19,3,10,8,0,1,Senior,1.6,144732
309,2,1,3,5,No,390,1,4,32,1,3,5660,2,1,3,12,3,5,3,1,2,Mid-level,2.4,67920
310,2,5,3,2,No,691,5,3,86,3,4,4821,0,1,3,6,3,5,2,0,3,Mid-level,2.8,57852
311,3,6,4,9,No,106,2,1,62,2,1,6410,3,0,3,9,3,2,2,1,0,Junior,1.4,76920
312,2,1,4,3,No,1249,7,1,97,3,1,5210,1,0,3,24,3,24,9,9,11,Senior,1.6,62520
313,2,1,3,2,No,192,2,3,32,3,4,2695,0,1,3,3,1,2,2,2,2,Junior,2.4,32340
314,2,1,3,6,No,553,5,4,74,3,2,11878,6,0,3,12,3,10,6,8,8,Senior,2.4,142536
315,2,3,2,6,No,117,10,3,99,3,1,17068,1,1,3,21,3,21,9,11,10,Senior,2.2,204816
316,2,1,3,3,No,185,10,3,33,3,4,2455,0,0,3,9,3,8,7,1,7,Senior,2.6,29460
317,2,5,1,5,No,1091,1,3,90,2,3,13964,7,1,3,25,3,7,1,0,7,Senior,2.4,167568
318,2,3,3,2,Yes,723,8,3,85,2,2,4941,2,0,3,11,2,8,2,7,7,Senior,1.8,59292
319,2,1,4,2,No,1220,5,3,85,3,2,2478,1,1,3,4,2,4,3,1,2,Mid-level,2.2,29736
320,1,5,1,1,No,588,8,3,65,2,2,5228,1,1,3,13,3,13,12,11,9,Senior,2.2,62736
321,1,1,4,1,No,1377,2,4,74,3,3,4478,1,1,3,5,3,5,4,0,4,Mid-level,2.8,53736
322,1,4,4,1,No,691,7,4,73,3,4,7547,4,0,3,13,3,7,7,1,7,Senior,2.8,90564
323,2,3,3,2,No,1018,2,1,74,4,4,5055,7,0,3,10,2,7,7,0,7,Senior,2.2,60660
324,2,3,3,2,Yes,1157,2,1,84,1,4,3464,5,1,3,5,2,3,2,2,2,Mid-level,1.8,41568
325,2,3,1,2,No,1275,28,4,64,3,4,5775,1,0,3,11,3,10,8,1,9,Senior,2.8,69300
326,2,1,1,4,No,798,7,3,48,2,3,8943,1,0,4,10,3,10,9,8,9,Senior,2.2,107316
327,2,3,1,6,No,672,7,3,54,2,4,19272,1,0,3,21,3,21,9,13,3,Senior,2.4,231264
328,1,3,1,1,Yes,1162,3,4,41,3,3,5238,4,1,3,12,2,1,0,0,0,Junior,2.6,62856
329,1,4,4,1,No,508,10,2,46,2,4,4682,3,0,3,9,2,7,7,0,1,Senior,2.0,56184
330,2,1,5,8,No,1482,5,4,42,3,3,18300,4,0,3,21,3,3,2,1,1,Mid-level,2.6,219600
331,2,1,3,3,No,559,10,3,82,2,3,5257,1,0,3,9,4,9,7,0,0,Senior,2.4,63084
332,1,4,2,1,No,210,1,3,73,3,2,6349,0,1,3,6,3,5,4,1,4,Mid-level,2.4,76188
333,2,1,3,2,No,928,20,4,31,3,3,4869,3,0,3,20,2,4,3,0,3,Mid-level,2.4,58428
334,2,1,4,5,No,1001,7,3,43,3,1,9985,8,0,3,10,2,1,0,0,0,Junior,1.8,119820
335,2,2,3,2,No,549,8,4,75,3,4,3697,9,0,3,12,3,10,9,9,8,Senior,2.8,44364
336,1,3,1,1,No,1124,1,2,57,1,4,7457,2,1,4,6,2,4,3,0,2,Mid-level,2.0,89484
337,2,2,3,3,Yes,318,8,2,77,1,1,2119,1,1,3,7,2,7,7,0,7,Senior,1.4,25428
338,2,2,5,3,No,738,9,2,30,2,4,3983,0,0,3,4,3,3,2,2,2,Mid-level,2.2,47796
339,1,4,4,1,No,570,5,4,30,2,3,6118,1,0,3,10,3,10,9,1,2,Senior,2.4,73416
340,1,4,3,1,No,1130,8,2,56,3,2,6214,1,0,3,8,3,8,7,0,7,Senior,2.0,74568
341,2,3,1,4,No,1192,5,4,61,3,4,6347,7,0,3,8,2,6,2,0,4,Mid-level,2.6,76164
342,2,1,1,8,No,343,15,3,92,2,4,11510,0,1,3,12,3,11,10,2,9,Senior,2.6,138120
343,2,3,3,4,No,1232,7,3,39,3,4,7143,1,1,3,11,2,11,9,4,10,Senior,2.6,85716
344,1,4,2,1,No,144,10,4,39,2,2,8268,1,1,3,7,3,7,7,1,7,Senior,2.4,99216
345,2,5,3,4,No,1296,5,3,62,3,2,8095,0,0,3,17,3,16,6,0,13,Senior,2.2,97140
346,2,1,2,2,No,1309,26,3,83,3,4,2904,1,0,3,4,2,4,2,0,2,Mid-level,2.4,34848
347,2,3,4,4,No,483,6,4,95,2,2,6032,6,1,3,8,3,5,4,1,2,Mid-level,2.4,72384
348,1,3,2,7,No,1309,4,2,99,3,3,2976,3,0,3,5,3,0,0,0,0,Junior,2.2,35712
349,2,1,5,8,No,810,23,1,44,3,4,15992,2,0,3,16,3,1,0,0,0,Junior,2.2,191904
350,1,1,4,1,No,746,2,4,61,3,3,4649,1,0,3,4,2,4,3,0,2,Mid-level,2.4,55788
351,3,5,2,9,No,544,2,3,52,3,3,2696,0,1,3,4,3,3,2,1,0,Mid-level,2.6,32352
352,2,3,4,3,No,1062,2,3,75,3,2,2370,1,0,3,8,3,8,0,0,7,Senior,2.2,28440
353,1,3,2,6,No,530,29,1,91,3,3,12504,3,0,4,15,1,0,0,0,0,Junior,1.6,150048
354,2,3,4,2,No,1319,6,3,51,4,1,5974,4,1,3,13,3,7,7,6,7,Senior,2.4,71688
355,1,5,1,1,No,641,25,4,85,3,3,4736,7,1,3,4,4,2,2,2,2,Junior,3.0,56832
356,1,1,4,1,No,933,1,3,57,3,3,5296,1,0,3,8,3,8,7,7,7,Senior,2.4,63552
357,2,2,3,5,No,1332,2,1,98,2,4,6781,3,0,4,14,3,1,0,0,0,Junior,2.0,81372
358,1,5,2,7,Yes,756,1,1,99,2,2,2174,1,1,3,3,3,3,2,1,2,Mid-level,1.8,26088
359,1,3,5,1,No,845,1,4,45,3,4,6653,4,0,3,7,3,1,0,0,0,Junior,2.8,79836
360,1,3,3,1,No,541,3,1,48,2,4,9699,4,0,3,16,3,13,9,1,12,Senior,2.0,116388
361,2,3,3,5,No,593,1,4,88,3,3,6755,2,0,3,15,3,3,2,1,2,Mid-level,2.6,81060
362,2,1,3,3,No,1171,10,4,46,4,3,2213,3,1,3,10,3,7,7,1,7,Senior,3.0,26556
363,1,3,1,7,No,895,9,1,39,3,4,2610,1,0,4,3,2,3,2,2,2,Mid-level,2.0,31320
364,1,4,4,7,Yes,350,5,4,34,3,3,2851,1,1,3,1,3,1,0,0,0,Junior,2.8,34212
365,2,3,4,3,No,921,10,3,98,3,1,3452,6,0,4,17,3,5,4,0,3,Mid-level,2.0,41424
366,2,3,3,4,No,1144,7,3,30,3,3,5258,2,0,3,7,4,1,0,0,0,Junior,2.6,63096
367,1,4,4,1,Yes,143,4,1,56,3,2,9355,1,0,3,8,3,8,7,7,7,Senior,1.8,112260
368,2,5,4,5,No,1046,10,4,100,2,4,10496,6,0,3,20,3,4,3,1,3,Mid-level,2.6,125952
369,1,4,1,1,Yes,575,22,3,68,2,3,6380,2,1,3,8,3,6,4,1,0,Mid-level,2.4,76560
370,2,1,3,2,No,408,9,3,42,2,2,2657,0,1,3,3,3,2,2,2,2,Junior,2.2,31884
371,1,1,4,7,Yes,156,12,3,90,4,2,2716,1,0,3,1,3,1,0,0,0,Junior,2.4,32592
372,2,1,4,2,No,1283,23,4,54,3,4,2201,9,0,3,6,3,3,2,1,2,Mid-level,2.8,26412
373,2,1,3,5,No,755,9,3,97,2,2,6540,9,0,3,10,3,1,1,0,0,Junior,2.0,78480
374,2,3,1,3,No,1469,1,4,82,3,2,3816,1,0,3,5,3,5,2,0,4,Mid-level,2.4,45792
375,1,1,3,1,No,304,9,2,92,3,4,5253,1,0,3,7,3,7,5,0,7,Senior,2.4,63036
376,2,2,4,5,No,1261,7,2,31,2,3,10965,8,0,4,26,3,5,2,0,0,Mid-level,2.0,131580
377,1,1,1,1,No,1178,14,3,87,3,4,4936,4,0,3,18,2,7,7,0,7,Senior,2.4,59232
378,2,1,4,2,No,329,2,4,96,3,3,2543,4,0,3,6,3,2,2,2,2,Junior,2.6,30516
379,1,4,4,1,Yes,1362,19,1,67,4,4,5304,8,1,3,9,2,5,2,0,4,Mid-level,2.4,63648
380,2,1,4,6,No,1311,2,3,97,3,4,16659,2,1,3,30,3,5,4,1,2,Mid-level,2.8,199908
381,1,4,3,1,No,1371,10,4,77,3,3,4260,1,1,3,5,4,5,2,0,3,Mid-level,3.0,51120
382,1,5,2,7,No,202,2,3,72,3,2,2476,1,0,3,1,3,1,0,0,0,Junior,2.2,29712
383,2,5,2,2,Yes,575,3,3,73,3,1,3102,0,0,4,7,3,6,4,0,4,Mid-level,2.0,37224
384,2,3,4,2,No,253,11,1,43,3,2,2244,1,0,3,2,3,2,1,1,2,Junior,1.8,26928
385,1,3,1,1,No,164,2,2,61,2,3,7596,1,0,3,10,3,10,9,9,0,Senior,2.0,91152
386,2,5,4,2,Yes,464,4,3,40,3,4,2285,9,1,4,3,3,1,0,0,0,Junior,2.8,27420
387,2,1,4,3,No,1107,14,4,95,3,1,3034,1,0,3,18,2,18,7,12,17,Senior,2.0,36408
388,1,4,1,1,No,759,2,4,46,3,2,5715,7,0,3,8,3,5,4,1,3,Mid-level,2.4,68580
389,2,1,3,3,No,201,1,2,95,3,1,2576,3,0,3,8,3,5,2,1,2,Mid-level,1.8,30912
390,2,1,3,4,No,1305,10,3,49,3,2,4197,2,1,3,18,2,1,0,0,1,Junior,2.2,50364
391,2,1,4,8,No,982,12,1,59,2,2,14336,1,0,3,25,3,25,10,3,9,Senior,1.6,172032
392,2,3,4,3,No,555,2,2,78,2,3,3448,6,0,4,20,3,1,0,0,0,Junior,2.0,41376
393,2,3,1,8,No,821,5,1,86,3,1,19406,4,0,3,24,2,4,2,1,2,Mid-level,1.4,232872
394,1,4,3,1,No,1381,4,3,72,3,3,6538,9,0,3,6,3,3,2,1,2,Mid-level,2.4,78456
395,2,3,1,4,No,480,7,2,31,3,1,4306,1,0,3,13,1,13,10,3,12,Senior,1.4,51672
396,2,3,4,3,No,313,21,4,61,3,4,2258,7,0,4,8,3,3,2,1,2,Mid-level,2.8,27096
397,2,2,3,5,No,1473,8,3,74,3,3,4522,4,1,3,8,3,5,2,0,2,Mid-level,2.6,54264
398,1,1,1,1,No,891,4,2,99,2,4,4487,1,1,3,5,3,5,4,1,3,Mid-level,2.4,53844
399,2,3,5,2,No,1063,25,2,72,3,3,4449,3,1,3,15,3,13,11,10,7,Senior,2.4,53388
400,2,1,1,3,No,329,1,4,98,2,1,2218,1,0,3,4,3,4,2,3,2,Mid-level,2.0,26616
401,2,1,2,6,No,1218,1,2,52,3,3,19197,1,1,3,21,3,21,8,1,6,Senior,2.4,230364
402,1,1,4,1,No,906,6,3,86,4,1,13212,9,0,3,36,2,7,7,7,7,Senior,2.0,158544
403,1,5,4,1,No,1082,12,2,83,3,3,6577,0,0,3,6,3,5,4,4,4,Mid-level,2.2,78924
404,1,4,4,1,No,645,1,2,49,4,1,8392,1,0,3,10,3,10,7,0,7,Senior,2.0,100704
405,2,3,1,3,No,1300,17,3,79,3,1,4558,1,0,3,10,3,10,0,1,8,Senior,2.0,54696
406,2,3,4,3,Yes,688,3,1,91,3,1,4031,5,0,3,6,3,2,2,0,2,Junior,1.6,48372
407,2,3,4,4,No,319,3,4,39,2,3,7969,2,1,3,28,3,5,4,0,4,Mid-level,2.6,95628
408,2,1,1,2,No,192,10,1,69,3,4,2654,3,0,4,8,2,2,2,0,2,Junior,2.0,31848
409,2,1,1,6,No,1490,4,4,30,3,4,16555,2,0,3,31,1,5,2,1,4,Mid-level,2.4,198660
410,2,1,1,2,No,532,29,1,92,3,3,4556,2,0,3,19,3,5,4,0,2,Mid-level,2.0,54672
411,2,1,4,4,No,317,2,3,43,1,4,6091,2,0,4,11,3,5,4,0,2,Mid-level,2.2,73092
412,2,1,4,6,No,422,7,1,41,3,1,19566,5,0,3,33,1,29,8,11,10,Senior,1.2,234792
413,2,3,4,4,No,1485,18,3,87,3,3,4810,2,0,3,19,2,10,7,0,8,Senior,2.2,57720
414,2,5,3,5,No,1368,28,4,88,2,4,4523,0,0,3,7,4,6,5,0,4,Mid-level,2.8,54276
415,1,5,2,7,Yes,1448,1,1,62,3,2,3202,1,1,3,6,3,5,3,1,4,Mid-level,2.0,38424
416,1,4,1,7,Yes,296,6,4,33,1,3,2351,0,0,3,3,2,2,2,1,0,Junior,2.0,28212
417,2,1,1,3,No,1490,2,4,42,3,4,1702,1,1,4,1,3,1,0,0,0,Junior,3.0,20424
418,1,1,3,6,No,1398,2,3,79,3,3,18041,0,0,3,21,3,20,15,1,12,Senior,2.4,216492
419,2,1,4,2,No,1349,23,1,90,3,4,2886,1,0,4,3,1,3,2,0,2,Mid-level,1.8,34632
420,2,1,4,3,No,1400,3,3,53,3,4,2097,4,0,3,9,1,5,3,1,4,Mid-level,2.2,25164
421,2,3,3,8,No,986,3,2,93,2,3,11935,1,0,3,10,3,10,2,0,7,Senior,2.0,143220
422,2,5,5,2,Yes,408,25,3,71,2,2,2546,5,0,3,6,4,2,2,1,1,Junior,2.2,30552
423,3,5,1,9,Yes,489,2,1,52,2,4,2564,1,0,3,1,4,1,0,0,0,Junior,2.2,30768
424,1,2,3,1,No,1398,22,3,69,3,1,8412,0,0,3,10,3,9,8,7,8,Senior,2.0,100944
425,1,4,4,6,No,210,29,1,56,2,4,14118,3,0,3,32,2,1,0,0,0,Junior,1.8,169416
426,2,1,3,6,No,1099,29,2,88,2,3,17046,0,0,3,28,3,27,10,15,7,Senior,2.0,204552
427,2,3,4,3,No,1116,2,3,49,3,4,2564,0,0,3,12,2,11,7,6,7,Senior,2.4,30768
428,1,4,4,1,No,1499,28,3,80,2,1,10266,4,0,3,22,4,18,13,13,11,Senior,2.0,123192
429,2,3,1,4,No,983,2,1,65,3,4,5070,5,0,3,20,3,5,0,0,4,Mid-level,2.2,60840
430,2,1,4,8,No,1009,2,1,51,3,3,17861,6,0,3,26,1,3,2,0,1,Mid-level,1.6,214332
431,2,1,4,3,No,144,22,4,46,1,3,4230,0,0,3,6,3,5,4,4,3,Mid-level,2.2,50760
432,2,1,3,3,No,548,8,3,42,3,3,3780,7,0,3,19,3,1,0,0,0,Junior,2.4,45360
433,2,1,3,2,No,1303,2,4,62,2,3,2768,3,0,3,14,3,7,3,5,7,Senior,2.4,33216
434,1,4,4,1,No,1125,10,3,94,2,4,9071,2,1,3,15,3,3,2,1,2,Mid-level,2.6,108852
435,2,1,2,4,No,1274,9,3,33,3,2,10648,1,0,4,13,4,13,8,0,8,Senior,2.4,127776
436,2,3,2,6,Yes,1277,15,2,56,3,3,13610,7,1,3,15,4,7,6,7,7,Senior,2.6,163320
437,2,3,2,3,Yes,587,10,1,38,1,4,3408,7,0,3,8,3,4,3,1,3,Mid-level,1.8,40896
438,1,4,2,7,No,413,7,4,57,3,2,2983,0,0,3,4,3,3,2,1,2,Mid-level,2.4,35796
439,2,1,4,5,No,1276,16,4,72,3,3,7632,4,1,3,10,3,8,7,0,0,Senior,2.8,91584
440,2,1,4,5,Yes,534,20,1,66,3,3,9824,3,0,3,12,3,1,0,0,0,Junior,2.0,117888
441,3,6,4,9,Yes,988,23,2,43,3,1,9950,9,1,3,11,3,3,2,0,2,Mid-level,2.0,119400
442,2,2,1,3,No,1474,5,2,97,3,3,2093,4,0,3,8,3,2,2,2,0,Junior,2.2,25116
443,1,3,3,1,No,635,10,2,32,3,4,9980,1,0,3,10,2,10,3,9,7,Senior,2.2,119760
444,2,5,2,3,Yes,1368,4,3,99,2,3,3894,5,0,3,4,3,2,2,1,2,Junior,2.2,46728
445,1,4,5,1,No,163,2,2,37,3,4,4051,2,0,3,14,3,9,7,6,7,Senior,2.4,48612
446,1,1,5,6,No,1117,18,1,83,3,2,16835,3,0,4,37,3,10,9,7,7,Senior,1.8,202020
447,1,1,1,1,No,267,10,4,56,3,4,6230,7,0,3,16,3,14,3,1,10,Senior,2.8,74760
448,1,4,4,1,No,619,1,2,85,3,3,4717,9,0,3,15,3,11,9,6,9,Senior,2.2,56604
449,2,1,4,4,No,302,6,2,75,3,3,13237,7,0,3,22,3,20,6,5,13,Senior,2.2,158844
450,2,1,2,3,No,443,8,3,48,3,3,3755,1,0,3,8,3,8,3,0,7,Senior,2.4,45060
451,1,1,2,1,No,828,2,2,77,3,4,6582,4,1,3,10,4,6,5,0,5,Mid-level,2.8,78984
452,2,3,4,4,No,319,24,4,56,3,1,7406,1,1,4,10,2,10,9,5,8,Senior,2.2,88872
453,1,2,4,1,No,561,2,4,61,3,2,4805,0,0,3,9,4,8,7,3,7,Senior,2.6,57660
454,3,1,3,9,Yes,426,17,2,58,3,3,2741,0,1,3,8,2,7,7,1,0,Senior,2.2,32892
455,2,5,4,4,No,232,19,4,34,3,4,4262,4,0,3,8,4,3,2,1,2,Mid-level,3.0,51144
456,2,3,5,8,No,922,1,1,95,4,3,16184,4,0,3,10,3,6,1,0,5,Mid-level,2.2,194208
457,1,1,4,6,No,688,7,3,44,2,4,11557,9,0,4,10,2,5,4,0,1,Mid-level,2.2,138684
458,1,4,4,7,Yes,1306,5,2,69,3,2,1878,1,1,3,0,3,0,0,0,0,Junior,2.2,22536
459,1,2,4,1,No,1094,28,3,58,1,1,10932,3,0,3,20,3,1,0,0,1,Junior,1.6,131184
460,2,2,3,5,No,509,2,1,62,2,3,6811,2,1,3,10,3,8,7,0,7,Senior,2.0,81732
461,1,3,1,1,No,775,29,1,45,3,3,4306,5,0,3,8,3,0,0,0,0,Junior,2.0,51672
462,1,3,4,1,No,195,1,1,80,3,3,4859,1,0,3,5,3,5,4,0,3,Mid-level,2.0,58308
463,1,1,3,1,No,258,21,4,74,4,4,5337,1,0,3,10,3,10,7,5,7,Senior,3.0,64044
464,2,5,4,3,Yes,471,24,3,66,1,4,2340,1,1,3,1,1,1,0,0,0,Junior,2.0,28080
465,2,5,4,4,No,799,1,2,59,3,4,7491,4,0,3,12,4,6,5,1,2,Mid-level,2.6,89892
466,2,3,2,5,No,1034,18,1,86,3,3,10527,5,0,3,28,2,2,2,1,2,Junior,1.8,126324
467,1,1,5,6,No,1276,2,2,91,3,1,16595,7,0,3,22,3,18,16,11,8,Senior,1.8,199140
468,1,3,3,1,No,142,9,1,69,3,2,8834,1,0,3,9,3,9,5,7,7,Senior,1.8,106008
469,2,5,1,2,No,956,6,4,78,3,1,5577,3,1,3,18,3,10,9,6,9,Senior,2.4,66924
470,1,2,3,1,Yes,1474,11,4,60,4,3,4707,8,0,3,6,3,4,2,1,2,Mid-level,2.8,56484
471,1,3,4,7,No,535,24,4,38,3,4,2400,0,0,3,3,3,2,2,2,1,Junior,2.8,28800
472,2,3,4,5,No,1495,10,3,76,3,3,9824,3,0,3,18,3,1,0,0,0,Junior,2.4,117888
473,2,1,3,4,No,446,1,2,65,3,2,6447,6,0,3,8,2,6,5,4,3,Mid-level,1.8,77364
474,2,1,3,8,No,1245,18,4,58,2,3,19502,1,1,3,31,3,31,9,0,9,Senior,2.6,234024
475,2,3,4,2,No,691,23,2,89,4,4,2725,1,1,3,6,3,6,5,1,4,Mid-level,2.8,32700
476,1,4,1,1,No,703,28,1,66,3,2,6272,1,0,4,6,4,5,3,1,4,Mid-level,2.0,75264
477,2,2,1,3,No,823,17,4,94,2,2,2127,1,0,4,1,3,1,0,0,0,Junior,2.2,25524
